ts,action,type,symbol,side,qty,price,stopPrice,limitPrice,tif,orderId,linkId,result,sliceIndex,totalSlices
2025-08-11T07:46:30Z,twap_start,,ETHUSDT,SELL,,,,,,,TWAP-98bf1de7,,,
2025-08-11T07:46:30Z,place_order,,,,,,,,,FAKE-3dc5e6d3,,,,
2025-08-11T07:46:30Z,twap_slice,,ETHUSDT,SELL,0.016666666666666666,,,,,FAKE-3dc5e6d3,TWAP-98bf1de7,ok,1,3
2025-08-11T07:46:31Z,place_order,,,,,,,,,FAKE-bee362bd,,,,
2025-08-11T07:46:31Z,twap_slice,,ETHUSDT,SELL,0.016666666666666666,,,,,FAKE-bee362bd,TWAP-98bf1de7,ok,2,3
2025-08-11T07:46:32Z,place_order,,,,,,,,,FAKE-a638c9b3,,,,
2025-08-11T07:46:32Z,twap_slice,,ETHUSDT,SELL,0.01666666666666667,,,,,FAKE-a638c9b3,TWAP-98bf1de7,ok,3,3
2025-08-11T07:46:32Z,twap_complete,,ETHUSDT,SELL,,,,,,,TWAP-98bf1de7,ok,,
2025-08-11T07:46:59Z,place_order,,,,,,,,,FAKE-70d4988f,,,,
2025-08-11T07:46:59Z,place_order,MARKET,BTCUSDT,BUY,0.001,,,,,FAKE-70d4988f,,ok,,
2025-08-11T08:50:56Z,place_order,,,,,,,,,FAKE-4af68701,,,,
2025-08-11T08:50:56Z,place_order,MARKET,BTCUSDT,BUY,0.001,,,,,FAKE-4af68701,,ok,,
2025-08-11T08:51:00Z,place_order,,,,,,,,,FAKE-f8143944,,,,
2025-08-11T08:51:00Z,place_order,LIMIT,ETHUSDT,SELL,1.0,3200.0,,,GTC,FAKE-f8143944,,ok,,
2025-08-11T08:51:05Z,place_order,,,,,,,,,FAKE-4ef01a5f,,,,
2025-08-11T08:51:05Z,place_order,STOP_LIMIT,BTCUSDT,SELL,0.001,,59000.0,58800.0,GTC,FAKE-4ef01a5f,,ok,,
2025-08-11T08:51:10Z,place_order,,,,,,,,,FAKE-d9276cc6,,,,
2025-08-11T08:51:10Z,place_order,,,,,,,,,FAKE-a882c5e4,,,,
2025-08-11T08:51:10Z,place_oco,,BTCUSDT,SELL,0.001,,59000.0,,,,OCO-2473ad81,ok,,
2025-08-11T08:51:16Z,place_order,,,,,,,,,FAKE-1bbf895e,,,,
2025-08-11T08:51:16Z,place_entry,MARKET,BTCUSDT,BUY,0.002,,,,,FAKE-1bbf895e,BRK-f6034976,ok,,
2025-08-11T08:51:16Z,place_order,,,,,,,,,FAKE-587ef001,,,,
2025-08-11T08:51:16Z,place_exit_tp,,BTCUSDT,SELL,0.002,62000.0,,,,FAKE-587ef001,BRK-f6034976,ok,,
2025-08-11T08:51:16Z,place_order,,,,,,,,,FAKE-a25add61,,,,
2025-08-11T08:51:16Z,place_exit_sl,,BTCUSDT,SELL,0.002,,59000.0,,,FAKE-a25add61,BRK-f6034976,ok,,
2025-08-11T08:51:21Z,twap_start,,BTCUSDT,BUY,,,,,,,TWAP-db8db343,,,
2025-08-11T08:51:21Z,place_order,,,,,,,,,FAKE-23202880,,,,
2025-08-11T08:51:21Z,twap_slice,,BTCUSDT,BUY,0.0029999999999999996,,,,,FAKE-23202880,TWAP-db8db343,ok,1,3
2025-08-11T08:51:23Z,place_order,,,,,,,,,FAKE-93c1138f,,,,
2025-08-11T08:51:23Z,twap_slice,,BTCUSDT,BUY,0.0029999999999999996,,,,,FAKE-93c1138f,TWAP-db8db343,ok,2,3
2025-08-11T08:51:25Z,place_order,,,,,,,,,FAKE-4e130cb3,,,,
2025-08-11T08:51:25Z,twap_slice,,BTCUSDT,BUY,0.003,,,,,FAKE-4e130cb3,TWAP-db8db343,ok,3,3
2025-08-11T08:51:25Z,twap_complete,,BTCUSDT,BUY,,,,,,,TWAP-db8db343,ok,,
2025-08-11T08:52:51Z,place_order,,,,,,,,,FAKE-c232d096,,,,
2025-08-11T08:52:51Z,place_order,MARKET,BTCUSDT,BUY,0.001,,,,,FAKE-c232d096,,ok,,
2025-08-11T08:52:51Z,place_order,,,,,,,,,FAKE-7448eb2c,,,,
2025-08-11T08:52:51Z,place_order,,,,,,,,,FAKE-dd7b0b41,,,,
2025-08-11T08:52:51Z,place_oco,,BTCUSDT,SELL,0.001,,59000.0,,,,OCO-d91aaa3d,ok,,
